,key,value
99,jennifer_lopez,99
100,robert_blake,100
101,joseph_ruben,101
102,john_travolta,102
103,gene_hackman,103
104,rene_russo,104
105,danny_devito,105
106,barry_sonnenfeld,106
107,sigourney_weaver,107
108,holly_hunter,108
109,dermot_mulroney,109
110,william_mcnamara,110
111,jon_amiel,111
112,sylvester_stallone,112
113,antonio_banderas,113
114,julianne_moore,114
115,anatoli_davydov,115
116,richard_donner,116
117,mary_steenburgen,117
118,sean_patrick_flanery,118
119,lance_henriksen,119
120,jeff_goldblum,120
121,victor_salva,121
122,nicolas_cage,122
123,elisabeth_shue,123
124,julian_sands,124
125,richard_lewis,125
126,mike_figgis,126
127,laurence_fishburne,127
128,irène_jacob,128
129,kenneth_branagh,129
130,nathaniel_parker,130
131,oliver_parker,131
132,christina_ricci,132
133,rosie_o'donnell,133
134,thora_birch,134
135,melanie_griffith,135
136,lesli_linka_glatter,136
137,amanda_root,137
138,ciarán_hinds,138
139,susan_fleetwood,139
140,corin_redgrave,140
141,roger_michell,141
142,ron_perlman,142
143,daniel_emilfork,143
144,judith_vittet,144
145,dominique_pinon,145
146,marc_caro,146
147,jean-pierre_jeunet,147
148,li_gong,148
149,baotian_li,149
150,xiaoxiao_wang,150
151,xuejian_li,151
152,yimou_zhang,152
153,michelle_pfeiffer,153
154,george_dzundza,154
155,courtney_b._vance,155
156,robin_bartlett,156
157,john_n._smith,157
158,joseph_melito,158
159,bruce_willis,159
160,jon_seda,160
161,michael_chance,161
162,terry_gilliam,162
163,christine_cavanaugh,163
164,miriam_margolyes,164
165,danny_mann,165
166,hugo_weaving,166
167,chris_noonan,167
168,susan_sarandon,168
169,sean_penn,169
170,robert_prosky,170
171,tim_robbins,171
172,kirstie_alley,172
173,steve_guttenberg,173
174,mary-kate_olsen,174
175,ashley_olsen,175
176,andy_tennant,176
177,alicia_silverstone,177
178,stacey_dash,178
179,brittany_murphy,179
180,paul_rudd,180
181,amy_heckerling,181
182,james_earl_jones,182
183,richard_harris,183
184,vusi_kunene,184
185,charles_s._dutton,185
186,darrell_roodt,186
187,christopher_bowen,187
188,edward_jewesbury,188
189,ian_mckellen,189
190,bill_paterson,190
191,richard_loncraine,191
192,larenz_tate,192
193,keith_david,193
194,chris_tucker,194
195,freddy_rodríguez,195
196,albert_hughes,196
197,allen_hughes,197
198,robert_downey_jr.,198
199,sam_neill,199
200,david_thewlis,200
201,polly_walker,201
202,michael_hoffman,202
203,christopher_lambert,203
204,robin_shou,204
205,linden_ashby,205
206,cary-hiroyuki_tagawa,206
207,paul_w.s._anderson,207
208,nicole_kidman,208
209,matt_dillon,209
210,joaquin_phoenix,210
211,casey_affleck,211
212,gus_van_sant,212
213,kaelynn_craddick,213
214,sara_craddick,214
215,kate_capshaw,215
216,adam_baldwin,216
217,jocelyn_moorhouse,217
218,morgan_freeman,218
219,andrew_kevin_walker,219
220,daniel_zacapa,220
221,brad_pitt,221
222,david_fincher,222
223,joe_baker,223
224,christian_bale,224
225,irene_bedard,225
226,billy_connolly,226
227,mike_gabriel,227
228,eric_goldberg,228
229,pascale_bussières,229
230,rachael_crawford,230
231,henry_czerny,231
232,david_fox,232
233,patricia_rozema,233
234,stephen_baldwin,234
235,gabriel_byrne,235
236,benicio_del_toro,236
237,kevin_pollak,237
238,bryan_singer,238
239,pamela_blair,239
240,rene_ceballos,240
241,elie_chaib,241
242,george_de_la_pena,242
243,woody_allen,243
244,olivia_d'abo,244
245,jay_o._sanders,245
246,john_terry,246
247,holly_goldberg_sloan,247
248,jennifer_jason_leigh,248
249,mare_winningham,249
250,ted_levine,250
251,max_perlich,251
252,ulu_grosbard,252
253,anne_bancroft,253
254,charles_durning,254
255,jodie_foster,255
256,philippe_noiret,256
257,massimo_troisi,257
258,maria_grazia_cucinotta,258
259,renato_scarpa,259
260,michael_radford,260
261,hal_scardino,261
262,litefoot,262
263,lindsay_crouse,263
264,richard_jenkins,264
265,frank_oz,265
266,sally_field,266
267,olivia_burnette,267
268,alexandra_kyle,268
269,john_schlesinger,269
270,richard_dreyfuss,270
271,glenne_headly,271
272,jay_thomas,272
273,olympia_dukakis,273
274,stephen_herek,274
275,shawn_wayans,275
276,marlon_wayans,276
277,tracey_cherelle_jones,277
278,chris_spencer,278
279,paris_barclay,279
280,denis_leary,280
281,sandra_bullock,281
282,stephen_dillane,282
283,yaphet_kotto,283
284,bill_bennett,284
285,william_atherton,285
286,denise_dowse,286
287,dara_tomanovich,287
288,kevin_west,288
289,jason_bloom,289
290,patrick_bergin,290
291,matt_frewer,291
292,austin_o'brien,292
293,ely_pouget,293
294,farhad_mann,294
295,victoria_abril,295
296,josiane_balasko,296
297,alain_chabat,297
298,ticky_holgado,298
299,ice_cube,299
300,nia_long,300
301,tom_lister_jr.,301
302,f._gary_gray,302
303,george_clooney,303
304,harvey_keitel,304
305,juliette_lewis,305
306,william_baldwin,306
307,cindy_crawford,307
308,steven_berkoff,308
309,christopher_mcdonald,309
310,andrew_sipes,310
311,josh_hamilton,311
312,samuel_gould,312
313,catherine_kellner,313
314,jonathan_baumbach,314
315,noah_baumbach,315
316,jean-paul_belmondo,316
317,michel_boujenah,317
318,alessandra_martines,318
319,salomé_lelouch,319
320,claude_lelouch,320
321,christian_slater,321
322,mary_stuart_masterson,322
323,pamela_adlon,323
324,josh_brolin,324
325,michael_goldenberg,325
326,rick_moranis,326
327,tom_arnold,327
328,julianne_phillips,328
329,carol_kane,329
330,steve_miner,330
331,peter_weller,331
332,roy_dupuis,332
333,jennifer_rubin,333
334,andrew_lauer,334
335,christian_duguay,335
336,jack_nicholson,336
337,david_morse,337
338,anjelica_huston,338
339,robin_wright,339
340,demi_moore,340
341,alec_baldwin,341
342,joseph_gordon-levitt,342
343,james_gandolfini,343
344,brian_gibson,344
345,aida_mohammadkhani,345
346,mohsen_kafili,346
347,fereshteh_sadre_orafaiy,347
348,anna_borkowska,348
349,jafar_panahi,349
350,andy_garcia,350
351,christopher_lloyd,351
352,william_forsythe,352
353,bill_nunn,353
354,gary_fleder,354
355,willeke_van_ammelrooy,355
356,els_dottermans,356
357,dora_van_der_groen,357
358,veerle_van_overloop,358
359,marleen_gorris,359
360,al_freeman_jr.,360
361,phylicia_rashad,361
362,leon,362
363,paula_kelly,363
364,tim_reid,364
365,mark_rylance,365
366,kristin_scott_thomas,366
367,patsy_kensit,367
368,jeremy_kemp,368
369,philip_haas,369
370,jeff_bridges,370
371,caroline_goodall,371
372,john_savage,372
373,scott_wolf,373
374,ridley_scott,374
375,jason_alexander,375
376,faye_dunaway,376
377,eric_lloyd,377
378,rupert_everett,378
379,ken_kwapis,379
380,chris_farley,380
381,david_spade,381
382,tim_matheson,382
383,christine_ebersole,383
384,penelope_spheeris,384
385,johnny_depp,385
386,courtney_chase,386
387,christopher_walken,387
388,john_badham,388
389,julia_roberts,389
390,john_malkovich,390
391,george_cole,391
392,michael_gambon,392
393,stephen_frears,393
394,eddie_murphy,394
395,allen_payne,395
396,kadeem_hardison,396
397,wes_craven,397
398,noah_emmerich,398
399,annabeth_gish,399
400,lauren_holly,400
401,ted_demme,401
402,samantha_mathis,402
403,delroy_lindo,403
404,john_woo,404
405,richard_briers,405
406,hetta_charnley,406
407,joan_collins,407
408,nicholas_farrell,408
409,vincent_cassel,409
410,hubert_koundé,410
411,saïd_taghmaoui,411
412,abdel_ahmed_ghili,412
413,mathieu_kassovitz,413
414,nick_broomfield,414
415,nina_xining_zuo,415
416,madam_alex,416
417,corinne_bohrer,417
418,john_cusack,418
419,danny_aiello,419
420,harold_becker,420
421,luke_wilson,421
422,owen_wilson,422
423,ned_dowd,423
424,shea_fowler,424
425,wes_anderson,425
426,ellen_degeneres,426
427,bill_pullman,427
428,joan_cusack,428
429,dean_stockwell,429
430,nick_castle,430
431,ray_liotta,431
432,linda_fiorentino,432
433,peter_coyote,433
434,john_dahl,434
435,adam_sandler,435
436,julie_bowen,436
437,frances_bay,437
438,dennis_dugan,438
439,clint_eastwood,439
440,meryl_streep,440
441,annie_corley,441
442,victor_slezak,442
443,tim_curry,443
444,jennifer_saunders,444
445,kevin_bishop,445
446,brian_henson,446
447,david_lane,447
448,james_robinson,448
449,sean_lawlor,449
450,sandy_nelson,450
451,james_cosmo,451
452,mel_gibson,452
453,diahnne_abbott,453
454,frank_adu,454
455,victor_argo,455
456,gino_ardito,456
457,jackie_chan,457
458,anita_mui,458
459,françoise_yip,459
460,bill_tung,460
461,stanley_tong,461
462,liam_neeson,462
463,edward_furlong,463
464,julia_weldon,464
465,barbet_schroeder,465
466,janny_brandes-brilslijper,466
467,glenn_close,467
468,rose_de_liema,468
469,jon_blair,469
470,tobias_arnold,470
471,ruth_sheen,471
472,roger_lloyd_pack,472
473,hugh_o'conor,473
474,benjamin_ross,474
475,sarah_jessica_parker,475
476,eric_schaeffer,476
477,ben_stiller,477
478,elle_macpherson,478
479,alan_arkin,479
480,rachel_ticotin,480
481,joe_pantoliano,481
482,andrew_davis,482
483,robin_givens,483
484,halle_berry,484
485,david_alan_grier,485
486,reginald_hudlin,486
487,brigitte_lin,487
488,tony_chiu-wai_leung,488
489,faye_wong,489
490,takeshi_kaneshiro,490
491,kar-wai_wong,491
492,patricia_arquette,492
493,téa_leoni,493
494,mary_tyler_moore,494
495,david_o._russell,495
496,jason_james_richter,496
497,melody_kay,497
498,jack_black,498
499,carole_finn,499
500,peter_macdonald,500
501,maggie_cogan,501
502,katina_pendleton,502
503,michel_negroponte,503
504,josh_charles,504
505,anne_heche,505
506,john_goodman,506
507,christine_lahti,507
508,bryan_gordon,508
509,david_caruso,509
510,chazz_palminteri,510
511,richard_crenna,511
512,william_friedkin,512
513,kelsey_grammer,513
514,rob_schneider,514
515,harry_dean_stanton,515
516,david_s._ward,516
517,robert_redford,517
518,stockard_channing,518
519,joe_mantegna,519
520,jon_avnet,520
521,nathan_lane,521
522,dianne_wiest,522
523,mike_nichols,523
524,shari_albert,524
525,maxine_bahns,525
526,catharine_bolz,526
527,connie_britton,527
528,edward_burns,528
529,lisa_boyle,529
530,michael_taliferro,530
531,emmanuel_xuereb,531
532,tchéky_karyo,532
533,michael_bay,533
534,stephen_lang,534
535,ryan_slater,535
536,yi_ding,536
537,wang_fei,537
538,christopher_cain,538
539,leonardo_dicaprio,539
540,lorraine_bracco,540
541,marilyn_sokol,541
542,james_madio,542
543,scott_kalvert,543
544,alan_rickman,544
545,hugh_grant,545
546,georgina_cates,546
547,alun_armstrong,547
548,mike_newell,548
549,isabelle_huppert,549
550,martin_donovan,550
551,elina_löwensohn,551
552,damian_young,552
553,hal_hartley,553
554,bill_paxton,554
555,gary_sinise,555
556,ron_howard,556
557,jessica_lange,557
558,john_hurt,558
559,tim_roth,559
560,michael_caton-jones,560
561,lili_taylor,561
562,annabella_sciorra,562
563,edie_falco,563
564,abel_ferrara,564
565,tommy_lee_jones,565
566,joel_schumacher,566
567,catherine_deneuve,567
568,jean_sorel,568
569,michel_piccoli,569
570,geneviève_page,570
571,luis_buñuel,571
572,u_aung_ko,572
573,frances_mcdormand,573
574,spalding_gray,574
575,john_boorman,575
576,lou_reed,576
577,roseanne_barr,577
578,mel_gorham,578
579,paul_auster,579
580,wayne_wang,580
581,harvey_wang,581
582,john_candy,582
583,alan_alda,583
584,rhea_perlman,584
585,michael_moore,585
586,chauncey_leopardi,586
587,spencer_vrooman,587
588,malachi_pearson,588
589,cathy_moriarty,589
590,brad_silberling,590
591,john_turturro,591
592,mekhi_phifer,592
593,spike_lee,593
594,laura_linney,594
595,dylan_walsh,595
596,ernie_hudson,596
597,frank_marshall,597
598,denzel_washington,598
599,matt_craven,599
600,tony_scott,600
601,robert_crumb,601
602,aline_kominsky-crumb,602
603,charles_crumb,603
604,maxon_crumb,604
605,terry_zwigoff,605
606,salma_hayek,606
607,joaquim_de_almeida,607
608,cheech_marin,608
609,tom_sizemore,609
610,jennifer_beals,610
611,don_cheadle,611
612,carl_franklin,612
613,jeremy_irons,613
614,samuel_l._jackson,614
615,graham_greene,615
616,john_mctiernan,616
617,james_duval,617
618,rose_mcgowan,618
619,johnathon_schaech,619
620,cress_williams,620
621,gregg_araki,621
622,sean_connery,622
623,richard_gere,623
624,ben_cross,624
625,jerry_zucker,625
626,francis_capra,626
627,mary_kate_schellhardt,627
628,august_schellenberg,628
629,dwight_h._little,629
630,jonny_lee_miller,630
631,angelina_jolie,631
632,jesse_bradford,632
633,matthew_lillard,633
634,iain_softley,634
635,peter_jacobson,635
636,tom_cayler,636
637,david_thornton,637
638,christopher_ashley,638
639,keanu_reeves,639
640,dina_meyer,640
641,ice-t,641
642,takeshi_kitano,642
643,robert_longo,643
644,armand_assante,644
645,jürgen_prochnow,645
646,danny_cannon,646
647,pauly_shore,647
648,tia_carrere,648
649,stanley_tucci,649
650,brian_doyle-murray,650
651,john_fortenberry,651
652,leo_fitzpatrick,652
653,sarah_henderson,653
654,justin_pierce,654
655,joseph_chan,655
656,larry_clark,656
657,steve_buscemi,657
658,catherine_keener,658
659,danielle_von_zerneck,659
660,tom_dicillo,660
661,j._trevor_edmond,661
662,daniel_von_bargen,662
663,kevin_j._o'connor,663
664,joseph_latimore,664
665,clive_barker,665
666,thomas_gibson,666
667,ruth_marshall,667
668,cameron_bancroft,668
669,mia_kirshner,669
670,denys_arcand,670
671,chris_o'donnell,671
672,drew_barrymore,672
673,richard_chaim,673
674,antonia_bird,674
675,shannen_doherty,675
676,jeremy_london,676
677,jason_lee,677
678,claire_forlani,678
679,kevin_smith,679
680,karan_ashley,680
681,johnny_yong_bosch,681
682,steve_cardenas,682
683,jason_david_frank,683
684,bryan_spicer,684
685,marina_zudina,685
686,fay_ripley,686
687,evan_richards,687
688,oleg_yankovskiy,688
689,anthony_waller,689
690,nic_ratner,690
691,karl_geary,691
692,peter_fonda,692
693,michael_almereyda,693
694,jeremy_northam,694
695,dennis_miller,695
696,diane_baker,696
697,irwin_winkler,697
698,chris_columbus,698
699,the_lady_bunny,699
700,lum_chang_pang,700
701,parker_posey,701
702,anthony_desando,702
703,daisy_von_scherler_mayer,703
704,elias_koteas,704
705,virginia_madsen,705
706,eric_stoltz,706
707,gregory_widen,707
708,mia_farrow,708
709,tony_goldwyn,709
710,juana_barrios,710
711,mike_heibeck,711
712,norman_rené,712
713,xander_berkeley,713
714,dean_norris,714
715,julie_burgess,715
716,todd_haynes,716
717,gary_oldman,717
718,robert_duvall,718
719,lisa_andoh,719
720,roland_joffé,720
721,elizabeth_berkley,721
722,kyle_maclachlan,722
723,gina_gershon,723
724,glenn_plummer,724
725,paul_verhoeven,725
726,giancarlo_esposito,726
727,josé_zúñiga,727
728,stephen_gevedon,728
729,dennis_quaid,729
730,gena_rowlands,730
731,lasse_hallström,731
732,ben_kingsley,732
733,michael_madsen,733
734,alfred_molina,734
735,roger_donaldson,735
736,ralph_fiennes,736
737,kathryn_bigelow,737
738,nino_castelnuovo,738
739,anne_vernon,739
740,marc_michel,740
741,jacques_demy,741
742,patrick_swayze,742
743,mary_elizabeth_mastrantonio,743
744,joseph_mazzello,744
745,seth_mumy,745
746,martha_coolidge,746
747,romane_bohringer,747
748,dominique_blanc,748
749,agnieszka_holland,749
750,john_leguizamo,750
751,beeban_kidron,751
752,steven_seagal,752
753,eric_bogosian,753
754,everett_mcgill,754
755,katherine_heigl,755
756,geoff_murphy,756
757,andie_macdowell,757
758,michael_richards,758
759,sandra_bernhard,759
760,robert_best,760
761,natane_boudreau,761
762,douglas_keeve,762
763,aitana_sánchez-gijón,763
764,anthony_quinn,764
765,giancarlo_giannini,765
766,alfonso_arau,766
767,kevin_costner,767
768,chaim_jeraffi,768
769,rick_aviles,769
770,r.d._call,770
771,kevin_reynolds,771
772,harry_belafonte,772
773,kelly_lynch,773
774,margaret_avery,774
775,desmond_nakano,775
776,ellen_barkin,776
777,diane_lane,777
778,walter_hill,778
779,albert_finney,779
780,greta_scacchi,780
781,daniel_stern,781
782,jon_polito,782
783,brad_sullivan,783
784,ann_dowd,784
785,greg_beeman,785
786,oleg_menshikov,786
787,nikita_mikhalkov,787
788,ingeborga_dapkunaite,788
789,nadezhda_mikhalkova,789
790,grégoire_colin,790
791,josif_josifovski,791
792,boris_delcevski,792
793,dejan_velkov,793
794,milcho_manchevski,794
795,ethan_hawke,795
796,julie_delpy,796
797,andrea_eckert,797
798,hanno_pöschl,798
799,richard_linklater,799
800,darren_mcgavin,800
801,bridgette_wilson-sampras,801
802,bradley_whitford,802
803,tamra_davis,803
804,j.t._walsh,804
805,lee_garlington,805
806,guy_ferland,806
807,whoopi_goldberg,807
808,mary-louise_parker,808
809,matthew_mcconaughey,809
810,herbert_ross,810
811,aeryk_egan,811
812,delphine_french,812
813,mona_powell,813
814,peter_horton,814
815,jeffrey_combs,815
816,barbara_crampton,816
817,jonathan_fuller,817
818,jessica_dollarhide,818
819,stuart_gordon,819
820,minnie_driver,820
821,geraldine_o'rawe,821
822,saffron_burrows,822
823,pat_o'connor,823
824,brian_o'halloran,824
825,jeff_anderson,825
826,marilyn_ghigliotti,826
827,lisa_spoonauer,827
828,marlon_brando,828
829,géraldine_pailhas,829
830,jeremy_leven,830
831,donald_sutherland,831
832,barry_levinson,832
833,gary_busey,833
834,yancy_butler,834
835,michael_jeter,835
836,dylan_mcdermott,836
837,nancy_travis,837
838,james_le_gros,838
839,jack_baran,839
840,stuart_wilson,840
841,krystia_mova,841
842,roman_polanski,842
843,kathy_bates,843
844,judy_parfitt,844
845,christopher_plummer,845
846,taylor_hackford,846
847,jeff_daniels,847
848,mike_starr,848
849,peter_farrelly,849
850,bobby_farrelly,850
851,sihung_lung,851
852,yu-wen_wang,852
853,chien-lien_wu,853
854,kuei-mei_yang,854
855,bruce_greenwood,855
856,don_mckellar,856
857,atom_egoyan,857
858,dana_delany,858
859,paul_mercurio,859
860,dan_aykroyd,860
861,garry_marshall,861
862,martin_landau,862
863,tim_burton,863
864,meg_ryan,864
865,kevin_kline,865
866,timothy_hutton,866
867,jean_reno,867
868,lawrence_kasdan,868
869,billy_crystal,869
870,debra_winger,870
871,cynthia_stevenson,871
872,mimi_rogers,872
873,bruce_davison,873
874,tom_bower,874
875,phillip_borsos,875
876,bill_farmer,876
877,jason_marsden,877
878,kellie_martin,878
879,kevin_lima,879
880,jeremy_sisto,880
881,brett_leonard,881
882,carlo_carlei,882
883,stefano_dionisi,883
884,enrico_lo_verso,884
885,elsa_zylberstein,885
886,caroline_cellier,886
887,gérard_corbiau,887
888,doug_stone,888
889,kristy_young,889
890,james_donadio,890
891,deborah_hobart,891
892,mark_lewis,892
893,william_gates,893
894,arthur_agee,894
895,emma_gates,895
896,curtis_gates,896
897,steve_james,897
898,melanie_lynskey,898
899,sarah_peirse,899
900,diana_kent,900
901,peter_jackson,901
902,sinbad,902
903,phil_hartman,903
904,kim_greist,904
905,kim_murphy,905
906,randall_miller,906
907,jeroen_krabbé,907
908,isabella_rossellini,908
909,johanna_ter_steege,909
910,bernard_rose,910
911,david_goldman,911
912,joseph_wayne_miller,912
913,cody_burger,913
914,allen_covert,914
915,steven_brill,915
916,john_lone,916
917,joan_chen,917
918,yoshio_harada,918
919,j.f._lawton,919
920,lou_jacobi,920
921,fred_schepisi,921
922,virginia_mccollam,922
923,john_mcconnell,923
924,neil_jordan,924
925,nick_nolte,925
926,gwyneth_paltrow,926
927,estelle_eonnet,927
928,thandie_newton,928
929,james_ivory,929
930,john_g._brennan,930
931,kamal_ahmed,931
932,william_hickey,932
933,james_melkonian,933
934,arnold_schwarzenegger,934
935,emma_thompson,935
936,ivan_reitman,936
937,blair_underwood,937
938,arne_glimcher,938
939,thomas_ian_nicholas,939
940,joss_ackland,940
941,art_malik,941
942,paloma_baeza,942
943,michael_gottlieb,943
944,helen_hunt,944
945,mark_hamill,945
946,carrie_fisher,946
947,peter_cushing,947
948,george_lucas,948
949,winona_ryder,949
950,trini_alvarado,950
951,gillian_armstrong,951
952,liesel_matthews,952
953,eleanor_bron,953
954,liam_cunningham,954
955,rusty_schwimmer,955
956,alfonso_cuarón,956
957,crissy_rock,957
958,vladimir_vega,958
959,sandie_lavelle,959
960,mauricio_venegas,960
961,ken_loach,961
962,marco_leonardi,962
963,lumi_cavazos,963
964,regina_torné,964
965,mario_iván_martínez,965
966,aidan_quinn,966
967,edward_zwick,967
968,damon_wayans,968
969,michael_ironside,969
970,bam_bam_bigelow,970
971,joseph_blaire,971
972,angel_aviles,972
973,seidy_lopez,973
974,jacob_vargas,974
975,devine,975
976,warren_beatty,976
977,katharine_hepburn,977
978,garry_shandling,978
979,glenn_gordon_caron,979
980,david_strathairn,980
981,cuba_gooding_jr.,981
982,stephen_gyllenhaal,982
983,rupert_graves,983
984,helen_mirren,984
985,amanda_donohoe,985
986,charlotte_curley,986
987,nicholas_hytner,987
988,tom_hulce,988
989,helena_bonham_carter,989
990,chevy_chase,990
991,farrah_fawcett,991
992,george_wendt,992
993,james_orr,993
994,madeline_kahn,994
995,robert_klein,995
996,anthony_lapaglia,996
997,nora_ephron,997
998,michael_patrick_carter,998
999,malcolm_mcdowell,999
1000,richard_benjamin,1000
1001,richard_attenborough,1001
1002,elizabeth_perkins,1002
1003,les_mayfield,1003
1004,gil_bellows,1004
1005,david_frankel,1005
1006,edward_james_olmos,1006
1007,rafael_cortes,1007
1008,ivette_reina,1008
1009,amelia_zapata,1009
1010,gregory_nava,1010
1011,embeth_davidtz,1011
1012,marc_rocco,1012
1013,paul_newman,1013
1014,jessica_tandy,1014
1015,robert_benton,1015
1016,natasha_richardson,1016
1017,richard_libertini,1017
1018,michael_apted,1018
1019,shar-ron_corley,1019
1020,gabriel_casseus,1020
1021,saul_stein,1021
1022,gwen_mcgee,1022
1023,nick_gomez,1023
1024,tôru_nakamura,1024
1025,chad_mcqueen,1025
1026,mira_sorvino,1026
1027,conan_lee,1027
1028,tôru_murakawa,1028
1029,craig_fairbrass,1029
1030,elizabeth_hurley,1030
1031,keith_allen,1031
1032,anita_dobson,1032
1033,vadim_jean,1033
1034,laura_san_giacomo,1034
1035,paul_rhys,1035
1036,michael_o'keefe,1036
1037,cristi_conaway,1037
1038,alan_jacobs,1038
1039,rodney_dangerfield,1039
1040,marisa_tomei,1040
1041,bonnie_hunt,1041
1042,norman_jewison,1042
1043,rena_owen,1043
1044,temuera_morrison,1044
1045,mamaengaroa_kerr-bell,1045
1046,julian_arahanga,1046
1047,lee_tamahori,1047
1048,alyssa_milano,1048
1049,belinda_bauer,1049
1050,anne_goursaud,1050
1051,dustin_hoffman,1051
1052,kevin_spacey,1052
1053,wolfgang_petersen,1053
1054,natalie_portman,1054
1055,luc_besson,1055
1056,mira_nair,1056
1057,sadie_frost,1057
1058,erika_eleniak,1058
1059,joshua_brand,1059
1060,amanda_plummer,1060
1061,laura_lovelace,1061
1062,lai_wang,1062
1063,bozhao_wang,1063
1064,deb_snyder,1064
1065,linus_roache,1065
1066,robert_carlyle,1066
1067,cathy_tyson,1067
1068,rob_morrow,1068
1069,paul_scofield,1069
1070,yûki_kudô,1070
1071,tamlyn_tomita,1071
1072,akira_takayama,1072
1073,kayo_hatta,1073
1074,isabelle_adjani,1074
1075,daniel_auteuil,1075
1076,jean-hugues_anglade,1076
1077,vincent_perez,1077
1078,patrice_chéreau,1078
1079,russell_crowe,1079
1080,sam_raimi,1080
1081,peter_falk,1081
1082,d.b._sweeney,1082
1083,ellen_burstyn,1083
1084,peter_yates,1084
1085,marcello_mastroianni,1085
1086,jean-pierre_cassel,1086
1087,kim_basinger,1087
1088,robert_altman,1088
1089,jean-louis_trintignant,1089
1090,frédérique_feder,1090
1091,jean-pierre_lorit,1091
1092,krzysztof_kieslowski,1092
1093,juliette_binoche,1093
1094,benoît_régent,1094
1095,florence_pernel,1095
1096,charlotte_véry,1096
1097,zbigniew_zamachowski,1097
1098,janusz_gajos,1098
1099,jerzy_stuhr,1099
1100,matt_mccoy,1100
1101,sherry_miller,1101
1102,fred_gerber,1102
1103,darlanne_fluegel,1103
1104,martin_neufeld,1104
1105,james_brolin,1105
1106,denise_crosby,1106
1107,george_mihalka,1107
1108,al_franken,1108
1109,vincent_d'onofrio,1109
1110,shirley_knight,1110
1111,harold_ramis,1111
1112,jack_palance,1112
1113,howard_mcgillin,1113
1114,michelle_nicastro,1114
1115,liz_callaway,1115
1116,richard_rich,1116
1117,jeni_courtney,1117
1118,pat_slowey,1118
1119,dave_duffy,1119
1120,declan_hannigan,1120
1121,john_sayles,1121
1122,rod_steiger,1122
1123,luis_llosa,1123
1124,kurt_russell,1124
1125,james_spader,1125
1126,jaye_davidson,1126
1127,viveca_lindfors,1127
1128,roland_emmerich,1128
1129,judge_reinhold,1129
1130,wendy_crewson,1130
1131,john_pasquin,1131
1132,bob_gunton,1132
1133,william_sadler,1133
1134,frank_darabont,1134
1135,kerry_fox,1135
1136,christopher_eccleston,1136
1137,ewan_mcgregor,1137
1138,ken_stott,1138
1139,danny_boyle,1139
1140,dennis_haysbert,1140
1141,mel_harris,1141
1142,sab_shimono,1142
1143,dina_merrill,1143
1144,scott_mcgehee,1144
1145,david_siegel,1145
1146,jorge_perugorría,1146
1147,vladimir_cruz,1147
1148,mirta_ibarra,1148
1149,francisco_gattorno,1149
1150,tomás_gutiérrez_alea,1150
1151,juan_carlos_tabío,1151
1152,frank_whaley,1152
1153,michelle_forbes,1153
1154,george_huang,1154
1155,jack_thompson,1155
1156,john_polson,1156
1157,deborah_kennedy,1157
1158,geoff_burton,1158
1159,kevin_dowling,1159
1160,valerie_mahaffey,1160
1161,lawrence_dane,1161
