,id,title,year,rated,duration,genre,cast,director,language,imdb_rating,votes
19,tt0113845,Money Train,1995,R,110 min,"Action, Comedy, Crime, Drama, Thriller","Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake",Joseph Ruben,English,5.7,"38,952"
20,tt0113161,Get Shorty,1995,R,105 min,"Comedy, Crime, Thriller","John Travolta, Gene Hackman, Rene Russo, Danny DeVito",Barry Sonnenfeld,English,6.9,"76,362"
21,tt0112722,Copycat,1995,R,123 min,"Drama, Mystery, Thriller","Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara",Jon Amiel,English,6.6,"54,634"
22,tt0112401,Assassins,1995,R,132 min,"Action, Crime, Thriller","Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov",Richard Donner,"English, Dutch, Spanish",6.4,"77,990"
23,tt0114168,Powder,1995,PG-13,111 min,"Drama, Fantasy, Mystery, Sci-Fi, Thriller","Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum",Victor Salva,English,6.6,"28,482"
24,tt0113627,Leaving Las Vegas,1995,R,111 min,"Drama, Romance","Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis",Mike Figgis,"English, Russian",7.5,"114,855"
25,tt0114057,Othello,1995,R,123 min,"Drama, Romance","Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker",Oliver Parker,English,6.8,"9,068"
26,tt0114011,Now and Then,1995,PG-13,100 min,"Comedy, Drama, Romance","Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith",Lesli Linka Glatter,English,6.8,"27,111"
27,tt0114117,Persuasion,1995,PG,107 min,"Drama, Romance","Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave",Roger Michell,English,7.7,"8,758"
28,tt0112682,The City of Lost Children,1995,R,112 min,"Fantasy, Sci-Fi","Ron Perlman, Daniel Emilfork, Judith Vittet, Dominique Pinon","Marc Caro, Jean-Pierre Jeunet","French, Cantonese",7.5,"64,976"
29,tt0115012,Shanghai Triad,1995,R,108 min,"Crime, Drama, History, Romance, Thriller","Li Gong, Baotian Li, Xiaoxiao Wang, Xuejian Li",Yimou Zhang,Mandarin,7.1,"5,195"
30,tt0112792,Dangerous Minds,1995,R,99 min,"Biography, Drama","Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett",John N. Smith,English,6.6,"48,695"
31,tt0114746,12 Monkeys,1995,R,129 min,"Mystery, Sci-Fi, Thriller","Joseph Melito, Bruce Willis, Jon Seda, Michael Chance",Terry Gilliam,"English, French",8.0,"581,631"
32,tt0112431,Babe,1995,G,91 min,"Comedy, Drama, Family","Christine Cavanaugh, Miriam Margolyes, Danny Mann, Hugo Weaving",Chris Noonan,English,6.8,"117,108"
33,tt0112818,Dead Man Walking,1995,R,122 min,"Crime, Drama","Susan Sarandon, Sean Penn, Robert Prosky, Raymond J. Barry",Tim Robbins,English,7.5,"88,888"
34,tt0113442,It Takes Two,1995,PG,101 min,"Comedy, Family, Romance","Kirstie Alley, Steve Guttenberg, Mary-Kate Olsen, Ashley Olsen",Andy Tennant,English,5.9,"21,015"
35,tt0112697,Clueless,1995,PG-13,97 min,"Comedy, Romance","Alicia Silverstone, Stacey Dash, Brittany Murphy, Paul Rudd",Amy Heckerling,"English, Spanish",6.8,"186,398"
36,tt0112749,"Cry, the Beloved Country",1995,PG-13,106 min,"Drama, Thriller","James Earl Jones, Richard Harris, Vusi Kunene, Charles S. Dutton",Darrell Roodt,English,6.8,"1,683"
37,tt0114279,Richard III,1995,R,110 min,"Drama, Sci-Fi, War","Christopher Bowen, Edward Jewesbury, Ian McKellen, Bill Paterson",Richard Loncraine,English,7.4,"13,756"
38,tt0112819,Dead Presidents,1995,R,119 min,"Action, Crime, Drama, Thriller, War","Larenz Tate, Keith David, Chris Tucker, Freddy Rodríguez","Albert Hughes, Allen Hughes",English,6.9,"20,115"
39,tt0114272,Restoration,1995,R,117 min,"Biography, Drama, History, Romance","Robert Downey Jr., Sam Neill, David Thewlis, Polly Walker",Michael Hoffman,"English, Latin",6.6,"8,921"
40,tt0113855,Mortal Kombat,1995,PG-13,101 min,"Action, Adventure, Fantasy, Sci-Fi, Thriller","Christopher Lambert, Robin Shou, Linden Ashby, Cary-Hiroyuki Tagawa",Paul W.S. Anderson,English,5.8,"103,372"
41,tt0114681,To Die For,1995,R,106 min,"Comedy, Crime, Drama, Thriller","Nicole Kidman, Matt Dillon, Joaquin Phoenix, Casey Affleck",Gus Van Sant,English,6.8,"43,875"
42,tt0113347,How to Make an American Quilt,1995,PG-13,117 min,"Comedy, Drama, Romance","Kaelynn Craddick, Sara Craddick, Kate Capshaw, Adam Baldwin",Jocelyn Moorhouse,English,6.3,"10,721"
43,tt0114369,Se7en,1995,R,127 min,"Crime, Drama, Mystery, Thriller","Morgan Freeman, Andrew Kevin Walker, Daniel Zacapa, Brad Pitt",David Fincher,English,8.6,"1,452,916"
44,tt0114148,Pocahontas,1995,G,81 min,"Animation, Adventure, Drama, Family, Musical, Romance","Joe Baker, Christian Bale, Irene Bedard, Billy Connolly","Mike Gabriel, Eric Goldberg","English, Algonquin",6.7,"171,301"
45,tt0114916,When Night Is Falling,1995,R,94 min,"Drama, Romance","Pascale Bussières, Rachael Crawford, Henry Czerny, David Fox",Patricia Rozema,English,6.5,"6,633"
46,tt0114814,The Usual Suspects,1995,R,106 min,"Crime, Mystery, Thriller","Stephen Baldwin, Gabriel Byrne, Benicio Del Toro, Kevin Pollak",Bryan Singer,"English, Hungarian, Spanish, French",8.5,"998,187"
47,tt0113819,Mighty Aphrodite,1995,R,95 min,"Comedy, Fantasy, Romance","Pamela Blair, Rene Ceballos, Elie Chaib, George De La Pena",Woody Allen,"English, Latin",7.0,"38,223"
48,tt0110299,Lamerica,1994,N/A,116 min,Drama,"Enrico Lo Verso, Michele Placido, Piro Milkani, Carmelo Di Mazzarelli",Gianni Amelio,"Albanian, Italian",7.5,"2,076"
49,tt0112499,The Big Green,1995,PG,100 min,"Comedy, Family, Sport","Steve Guttenberg, Olivia d'Abo, Jay O. Sanders, John Terry",Holly Goldberg Sloan,English,5.6,"9,316"
50,tt0113158,Georgia,1995,R,115 min,"Drama, Music","Jennifer Jason Leigh, Mare Winningham, Ted Levine, Max Perlich",Ulu Grosbard,"English, Hebrew",6.7,"2,803"
51,tt0113321,Home for the Holidays,1995,PG-13,103 min,"Comedy, Drama, Romance","Holly Hunter, Robert Downey Jr., Anne Bancroft, Charles Durning",Jodie Foster,English,6.6,"12,185"
52,tt0110877,Il Postino,1994,PG,108 min,"Biography, Comedy, Drama, Romance","Philippe Noiret, Massimo Troisi, Maria Grazia Cucinotta, Renato Scarpa","Michael Radford, Massimo Troisi","Italian, Spanish",7.7,"33,864"
53,tt0113419,The Indian in the Cupboard,1995,PG,96 min,"Drama, Family, Fantasy","Hal Scardino, Litefoot, Lindsay Crouse, Richard Jenkins",Frank Oz,English,6.0,"26,340"
54,tt0116260,Eye for an Eye,1996,R,101 min,"Crime, Drama, Thriller","Sally Field, Ed Harris, Olivia Burnette, Alexandra Kyle",John Schlesinger,"English, French, Spanish, Korean",6.2,"13,593"
55,tt0113862,Mr. Holland's Opus,1995,PG,143 min,"Drama, Music","Richard Dreyfuss, Glenne Headly, Jay Thomas, Olympia Dukakis",Stephen Herek,"English, American Sign Language",7.3,"35,754"
56,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,89 min,"Comedy, Crime","Shawn Wayans, Marlon Wayans, Tracey Cherelle Jones, Chris Spencer",Paris Barclay,"English, Spanish",6.6,"48,560"
57,tt0118002,Two If by Sea,1996,R,96 min,"Comedy, Crime, Romance","Denis Leary, Sandra Bullock, Stephen Dillane, Yaphet Kotto",Bill Bennett,English,5.3,"5,399"
58,tt0115683,Bio-Dome,1996,PG-13,88 min,Comedy,"William Atherton, Denise Dowse, Dara Tomanovich, Kevin West",Jason Bloom,English,4.5,"26,062"
59,tt0116839,Lawnmower Man 2: Beyond Cyberspace,1996,PG-13,93 min,"Action, Sci-Fi, Thriller","Patrick Bergin, Matt Frewer, Austin O'Brien, Ely Pouget",Farhad Mann,English,2.5,"8,975"
60,tt0113149,French Twist,1995,R,104 min,Comedy,"Victoria Abril, Josiane Balasko, Alain Chabat, Ticky Holgado",Josiane Balasko,"French, Spanish, English",6.4,"4,635"
61,tt0113118,Friday,1995,R,91 min,"Comedy, Drama","Ice Cube, Chris Tucker, Nia Long, Tom Lister Jr.",F. Gary Gray,English,7.3,"101,066"
62,tt0116367,From Dusk Till Dawn,1996,R,108 min,"Action, Crime, Horror","George Clooney, Quentin Tarantino, Harvey Keitel, Juliette Lewis",Robert Rodriguez,"English, Spanish",7.2,"288,338"
63,tt0113010,Fair Game,1995,R,91 min,"Action, Romance, Thriller","William Baldwin, Cindy Crawford, Steven Berkoff, Christopher McDonald",Andrew Sipes,"English, Russian",4.3,"12,207"
64,tt0113537,Kicking and Screaming,1995,R,96 min,"Comedy, Drama, Romance","Josh Hamilton, Samuel Gould, Catherine Kellner, Jonathan Baumbach",Noah Baumbach,English,6.8,"12,093"
65,tt0113828,Les Misérables,1995,R,175 min,"Drama, History","Jean-Paul Belmondo, Michel Boujenah, Alessandra Martines, Salomé Lelouch",Claude Lelouch,"French, German, English",7.4,"3,597"
66,tt0115644,Bed of Roses,1996,PG,87 min,"Drama, Romance","Christian Slater, Mary Stuart Masterson, Pamela Adlon, Josh Brolin",Michael Goldenberg,English,6.1,"7,874"
67,tt0115676,Big Bully,1996,PG,90 min,"Comedy, Thriller","Rick Moranis, Tom Arnold, Julianne Phillips, Carol Kane",Steve Miner,English,4.7,"4,560"
68,tt0114367,Screamers,1995,R,108 min,"Horror, Sci-Fi, Thriller","Peter Weller, Roy Dupuis, Jennifer Rubin, Andrew Lauer",Christian Duguay,English,6.4,"25,249"
69,tt0113973,Nico Icon,1995,N/A,67 min,"Documentary, Biography, Music","Nico, Tina Aumont, Christian Päffgen, Edith Boulogne",Susanne Ofteringer,"English, German",7.2,669
70,tt0112744,The Crossing Guard,1995,R,111 min,"Drama, Thriller","Jack Nicholson, David Morse, Anjelica Huston, Robin Wright",Sean Penn,English,6.3,"12,773"
71,tt0116731,The Juror,1996,R,118 min,"Crime, Drama, Thriller","Demi Moore, Alec Baldwin, Joseph Gordon-Levitt, James Gandolfini",Brian Gibson,"English, Spanish",5.7,"17,387"
72,tt0112445,The White Balloon,1995,Unrated,85 min,"Drama, Family","Aida Mohammadkhani, Mohsen Kafili, Fereshteh Sadre Orafaiy, Anna Borkowska",Jafar Panahi,Persian,7.7,"6,733"
73,tt0114660,Things to Do in Denver When You're Dead,1995,R,115 min,"Crime, Drama, Thriller","Andy Garcia, Christopher Lloyd, William Forsythe, Bill Nunn",Gary Fleder,English,6.8,"26,162"
74,tt0112379,Antonia's Line,1995,R,102 min,"Comedy, Drama","Willeke van Ammelrooy, Els Dottermans, Dora van der Groen, Veerle van Overloop",Marleen Gorris,Dutch,7.4,"8,298"
75,tt0114039,Once Upon a Time... When We Were Colored,1995,PG,115 min,"Drama, Romance","Al Freeman Jr., Phylicia Rashad, Leon, Paula Kelly",Tim Reid,English,7.1,471
76,tt0112365,Angels and Insects,1995,R,116 min,"Drama, Romance","Mark Rylance, Kristin Scott Thomas, Patsy Kensit, Jeremy Kemp",Philip Haas,English,6.8,"4,410"
77,tt0118158,White Squall,1996,PG-13,129 min,"Adventure, Drama","Jeff Bridges, Caroline Goodall, John Savage, Scott Wolf",Ridley Scott,"English, Danish, Spanish",6.6,"21,212"
78,tt0116151,Dunston Checks In,1996,PG,88 min,"Comedy, Adventure, Family","Jason Alexander, Faye Dunaway, Eric Lloyd, Rupert Everett",Ken Kwapis,"English, French",5.4,"11,925"
79,tt0115697,Black Sheep,1996,PG-13,87 min,Comedy,"Chris Farley, David Spade, Tim Matheson, Christine Ebersole",Penelope Spheeris,English,6.3,"36,789"
80,tt0113972,Nick of Time,1995,R,90 min,"Action, Crime, Drama, Thriller","Johnny Depp, Courtney Chase, Charles S. Dutton, Christopher Walken",John Badham,English,6.3,"39,375"
81,tt0117002,Mary Reilly,1996,R,108 min,"Drama, Horror, Romance, Thriller","Julia Roberts, John Malkovich, George Cole, Michael Gambon",Stephen Frears,English,5.8,"14,071"
82,tt0114825,Vampire in Brooklyn,1995,R,100 min,"Comedy, Fantasy, Horror, Romance","Eddie Murphy, Angela Bassett, Allen Payne, Kadeem Hardison",Wes Craven,English,4.6,"21,825"
83,tt0115639,Beautiful Girls,1996,R,112 min,"Comedy, Drama, Romance","Matt Dillon, Noah Emmerich, Annabeth Gish, Lauren Holly",Ted Demme,English,7.1,"31,407"
84,tt0115759,Broken Arrow,1996,R,108 min,"Action, Adventure, Thriller","John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo",John Woo,English,6.1,"91,009"
85,tt0113403,A Midwinter's Tale,1995,R,99 min,Comedy,"Richard Briers, Hetta Charnley, Joan Collins, Nicholas Farrell",Kenneth Branagh,English,7.2,"2,384"
86,tt0113247,La Haine,1995,Not Rated,98 min,"Crime, Drama","Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili",Mathieu Kassovitz,French,8.1,"152,072"
87,tt0113283,Heidi Fleiss: Hollywood Madam,1995,Not Rated,106 min,"Documentary, Biography","Nick Broomfield, Nina Xining Zuo, Madam Alex, Corinne Bohrer",Nick Broomfield,English,6.5,656
88,tt0115907,City Hall,1996,R,111 min,"Drama, Thriller","Al Pacino, John Cusack, Bridget Fonda, Danny Aiello",Harold Becker,English,6.2,"19,567"
89,tt0115734,Bottle Rocket,1996,R,91 min,"Comedy, Crime, Drama","Luke Wilson, Owen Wilson, Ned Dowd, Shea Fowler",Wes Anderson,"English, Spanish",7.0,"69,975"
90,tt0117102,Mr. Wrong,1996,PG-13,96 min,Comedy,"Ellen DeGeneres, Bill Pullman, Joan Cusack, Dean Stockwell",Nick Castle,English,3.9,"4,798"
91,tt0118040,Unforgettable,1996,R,117 min,"Drama, Mystery, Sci-Fi, Thriller","Ray Liotta, Linda Fiorentino, Peter Coyote, Christopher McDonald",John Dahl,"English, Spanish",6.0,"4,944"
92,tt0116483,Happy Gilmore,1996,PG-13,92 min,"Comedy, Sport","Adam Sandler, Christopher McDonald, Julie Bowen, Frances Bay",Dennis Dugan,English,7.0,"199,114"
93,tt0112579,The Bridges of Madison County,1995,PG-13,135 min,"Drama, Romance","Clint Eastwood, Meryl Streep, Annie Corley, Victor Slezak",Clint Eastwood,English,7.6,"73,431"
94,tt0110251,Nobody Loves Me,1994,N/A,104 min,"Comedy, Drama","Maria Schrader, Pierre Sanoussi-Bliss, Michael von Au, Elisabeth Trissenaar",Doris Dörrie,German,7.1,"1,133"
95,tt0117110,Muppet Treasure Island,1996,G,99 min,"Action, Adventure, Comedy, Family, Musical, Romance","Tim Curry, Billy Connolly, Jennifer Saunders, Kevin Bishop","Brian Henson, David Lane",English,7.0,"21,864"
96,tt0112646,Catwalk,1995,N/A,95 min,Documentary,"Christy Turlington, Azzedine Alaïa, Giorgio Armani, Nadja Auermann",Robert Leacock,English,7.0,262
97,tt0112573,Braveheart,1995,R,178 min,"Biography, Drama, History, War","James Robinson, Sean Lawlor, Sandy Nelson, James Cosmo",Mel Gibson,"English, French, Latin, Scottish Gaelic, Italian",8.3,"964,966"
98,tt0075314,Taxi Driver,1976,R,114 min,"Crime, Drama","Diahnne Abbott, Frank Adu, Victor Argo, Gino Ardito",Martin Scorsese,"English, Spanish",8.2,"731,821"
99,tt0113326,Rumble in the Bronx,1995,R,87 min,"Action, Comedy, Crime, Thriller","Jackie Chan, Anita Mui, Françoise Yip, Bill Tung",Stanley Tong,"Cantonese, English",6.8,"39,111"
100,tt0115645,Before and After,1996,PG-13,108 min,"Crime, Drama, Mystery","Meryl Streep, Liam Neeson, Edward Furlong, Julia Weldon",Barbet Schroeder,English,6.1,"8,209"
101,tt0112373,Anne Frank Remembered,1995,PG,117 min,"Documentary, Biography, War","Kenneth Branagh, Janny Brandes-Brilslijper, Glenn Close, Rose De Liema",Jon Blair,"English, German",8.0,"1,059"
102,tt0115033,The Young Poisoner's Handbook,1995,R,99 min,"Crime, Drama","Tobias Arnold, Ruth Sheen, Roger Lloyd Pack, Hugh O'Conor",Benjamin Ross,English,7.1,"3,450"
103,tt0116606,If Lucy Fell,1996,R,92 min,"Comedy, Romance","Sarah Jessica Parker, Eric Schaeffer, Ben Stiller, Elle Macpherson",Eric Schaeffer,English,4.9,"3,806"
104,tt0114536,Steal Big Steal Little,1995,PG-13,135 min,Comedy,"Andy Garcia, Alan Arkin, Rachel Ticotin, Joe Pantoliano",Andrew Davis,English,4.8,901
105,tt0106473,The Boys of St. Vincent,1992,N/A,93 min,Drama,"Henry Czerny, Johnny Morina, Brian Dooley, Philip Dinn",John N. Smith,English,7.5,"1,598"
106,tt0103859,Boomerang,1992,R,117 min,"Comedy, Drama, Romance","Eddie Murphy, Robin Givens, Halle Berry, David Alan Grier",Reginald Hudlin,"English, French",5.5,"26,215"
107,tt0109424,Chungking Express,1994,PG-13,102 min,"Comedy, Crime, Drama, Mystery, Romance","Brigitte Lin, Tony Chiu-Wai Leung, Faye Wong, Takeshi Kaneshiro",Kar-Wai Wong,"Cantonese, English, Japanese, Hindi, Mandarin, Punjabi, Urdu",8.1,"63,623"
108,tt0116324,Flirting with Disaster,1996,R,92 min,Comedy,"Ben Stiller, Patricia Arquette, Téa Leoni, Mary Tyler Moore",David O. Russell,English,6.7,"17,783"
109,tt0110647,The NeverEnding Story III,1994,G,95 min,"Adventure, Comedy, Family, Fantasy","Jason James Richter, Melody Kay, Jack Black, Carole Finn",Peter MacDonald,English,3.2,"10,747"
110,tt0110217,Jupiter's Wife,1995,Not Rated,87 min,"Documentary, Biography, Mystery","Maggie Cogan, Katina Pendleton",Michel Negroponte,English,7.2,231
111,tt0114131,Pie in the Sky,1995,R,95 min,"Comedy, Romance","Josh Charles, Anne Heche, John Goodman, Christine Lahti",Bryan Gordon,English,5.7,797
112,tt0113451,Jade,1995,R,95 min,"Crime, Drama, Thriller","David Caruso, Linda Fiorentino, Chazz Palminteri, Richard Crenna",William Friedkin,English,5.3,"11,536"
113,tt0116130,Down Periscope,1996,PG-13,92 min,Comedy,"Kelsey Grammer, Lauren Holly, Rob Schneider, Harry Dean Stanton",David S. Ward,English,6.2,"21,079"
114,tt0113756,Man of the Year,1995,N/A,86 min,"Comedy, Romance","Vivian Paxton, Claudette Sutherland, Michael Ornstein, Cal Bartlett",Dirk Shafer,"English, Yiddish",5.8,311
115,tt0118055,Up Close & Personal,1996,PG-13,124 min,"Drama, Romance","Robert Redford, Michelle Pfeiffer, Stockard Channing, Joe Mantegna",Jon Avnet,English,6.2,"13,491"
116,tt0115685,The Birdcage,1996,R,117 min,Comedy,"Robin Williams, Gene Hackman, Nathan Lane, Dianne Wiest",Mike Nichols,English,7.1,"80,140"
117,tt0112585,The Brothers McMullen,1995,R,98 min,"Comedy, Drama, Romance","Shari Albert, Maxine Bahns, Catharine Bolz, Connie Britton",Edward Burns,English,6.6,"7,437"
118,tt0112442,Bad Boys,1995,R,119 min,"Action, Comedy, Crime, Thriller","Lisa Boyle, Michael Taliferro, Emmanuel Xuereb, Tchéky Karyo",Michael Bay,English,6.9,"241,124"
119,tt0112342,The Amazing Panda Adventure,1995,PG,84 min,"Adventure, Drama, Family","Stephen Lang, Ryan Slater, Yi Ding, Wang Fei",Christopher Cain,English,5.8,"3,867"
120,tt0112461,The Basketball Diaries,1995,R,102 min,"Biography, Crime, Drama, Sport","Leonardo DiCaprio, Lorraine Bracco, Marilyn Sokol, James Madio",Scott Kalvert,English,7.3,"102,625"
121,tt0112427,An Awfully Big Adventure,1995,R,112 min,"Comedy, Drama, Romance","Alan Rickman, Hugh Grant, Georgina Cates, Alun Armstrong",Mike Newell,English,6.0,"2,595"
122,tt0109093,Amateur,1994,R,105 min,"Comedy, Crime, Drama, Thriller","Isabelle Huppert, Martin Donovan, Elina Löwensohn, Damian Young",Hal Hartley,English,6.9,"5,678"
123,tt0112384,Apollo 13,1995,PG,140 min,"Adventure, Drama, History","Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise",Ron Howard,English,7.6,"270,396"
124,tt0114287,Rob Roy,1995,R,139 min,"Adventure, Biography, Drama, History","Liam Neeson, Jessica Lange, John Hurt, Tim Roth",Michael Caton-Jones,English,6.9,"40,513"
125,tt0112288,The Addiction,1995,Not Rated,82 min,"Drama, Horror","Lili Taylor, Christopher Walken, Annabella Sciorra, Edie Falco",Abel Ferrara,English,6.5,"9,011"
126,tt0112462,Batman Forever,1995,PG-13,121 min,"Action, Adventure","Val Kilmer, Tommy Lee Jones, Jim Carrey, Nicole Kidman",Joel Schumacher,English,5.4,"236,100"
127,tt0061395,Belle de Jour,1967,R,100 min,"Drama, Romance","Catherine Deneuve, Jean Sorel, Michel Piccoli, Geneviève Page",Luis Buñuel,French,7.7,"40,365"
128,tt0112495,Beyond Rangoon,1995,R,100 min,"Action, Adventure, Drama","Patricia Arquette, U Aung Ko, Frances McDormand, Spalding Gray",John Boorman,English,6.6,"4,822"
129,tt0112541,Blue in the Face,1995,R,83 min,Comedy,"Lou Reed, Michael J. Fox, Roseanne Barr, Mel Gorham","Paul Auster, Wayne Wang, Harvey Wang",English,6.7,"9,060"
130,tt0109370,Canadian Bacon,1995,PG,91 min,Comedy,"John Candy, Alan Alda, Rhea Perlman, Kevin Pollak",Michael Moore,English,6.0,"16,111"
131,tt0112642,Casper,1995,PG,100 min,"Comedy, Family, Fantasy","Chauncey Leopardi, Spencer Vrooman, Malachi Pearson, Cathy Moriarty",Brad Silberling,English,6.1,"122,587"
132,tt0112688,Clockers,1995,R,128 min,"Crime, Drama, Mystery","Harvey Keitel, John Turturro, Delroy Lindo, Mekhi Phifer",Spike Lee,English,6.9,"20,874"
133,tt0112715,Congo,1995,PG-13,109 min,"Action, Adventure, Mystery, Sci-Fi","Laura Linney, Dylan Walsh, Ernie Hudson, Tim Curry",Frank Marshall,"English, American Sign Language",5.3,"42,490"
134,tt0112740,Crimson Tide,1995,R,116 min,"Action, Drama, Thriller, War","Denzel Washington, Gene Hackman, Matt Craven, George Dzundza",Tony Scott,English,7.3,"102,636"
135,tt0109508,Crumb,1994,R,119 min,"Documentary, Biography, Comedy, Drama","Robert Crumb, Aline Kominsky-Crumb, Charles Crumb, Maxon Crumb",Terry Zwigoff,English,8.0,"18,680"
136,tt0112851,Desperado,1995,R,104 min,"Action, Crime, Thriller","Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin",Robert Rodriguez,"English, Spanish",7.2,"171,730"
137,tt0112857,Devil in a Blue Dress,1995,R,102 min,"Crime, Drama, Mystery, Thriller","Denzel Washington, Tom Sizemore, Jennifer Beals, Don Cheadle",Carl Franklin,English,6.7,"17,660"
138,tt0112864,Die Hard with a Vengeance,1995,R,128 min,"Action, Adventure, Thriller","Bruce Willis, Jeremy Irons, Samuel L. Jackson, Graham Greene",John McTiernan,"English, German, Romanian",7.6,"365,912"
139,tt0112887,The Doom Generation,1995,R,83 min,"Comedy, Crime, Drama","James Duval, Rose McGowan, Johnathon Schaech, Cress Williams",Gregg Araki,English,6.2,"13,855"
140,tt0113071,First Knight,1995,PG-13,134 min,"Action, Adventure, Drama, Romance","Sean Connery, Richard Gere, Julia Ormond, Ben Cross",Jerry Zucker,English,6.0,"68,594"
141,tt0113114,Free Willy 2: The Adventure Home,1995,PG,95 min,"Adventure, Drama, Family","Jason James Richter, Francis Capra, Mary Kate Schellhardt, August Schellenberg",Dwight H. Little,"English, Danish, Malay, Dutch, Indonesian, Finnish, Luxembourgish, French Sign Language",5.1,"17,181"
